hussar_activation_desc;Гусары относятся к одному из видов легкой кавалерии, которая возникла в Венгрии в XV веке. Название и необычная форма этих всадников получили впоследствии широкое распространение в европейских и других кавалерийских полках. Гусары играли заметную роль как кавалерия в наполеоновских войнах. В свете того что они являются кавалеристами на быстрых конях, они могут использоваться для молниеносных атак и для разведки.;;Husaren sind eine leichte Kavallerie-Einheit, die ihren Ursprung im 15. Jahrhundert in Ungarn hat. Ihre Bezeichnung und die charakteristische Kleidung dieser Reiter wurde in der Folgezeit weitgehend von leichten Kavallerie-Regimentern in Europa und anderen Armeen ьbernommen. Die Husaren spielten als Kavallerie in den Napoleonischen Kriegen eine wichtige Rolle. Diese leichte Kavallerie auf schnellen Pferden wurde in Gefechten und zur Erkundung eingesetzt.;;;;;;;;;;;x
military_aviation;Военная авиация;;Militдrische Luftfahrt;;;;;;;;;;;x
military_aviation_desc;Военная авиация - это использование воздушных судов и других летательных аппаратов при ведении войны. Целесообразность применения  более тяжелых, чем воздух воздушных судов стала очевидной сразу после их появления. Модель Райт была приобретена в 1909 году на вооружение армии США, а в 1911 году итальянцы использовали различные типы самолетов для разведки, фото-разведки и бомбардировки целей в рамках итало-турецкой войны. В ходе Первой Мировой Войне военная авиация получила мощный толчок в развитии, появилось множество специализированных типов самолетов, таких как разведчики, истребители и бомбардировщики.;;Militдrische Luftfahrt bedient sich Flugzeugen und anderen Fluggerдten zum Zwecke der Kriegsfьhrung. Luftfahrzeuge, die schwerer als Luft sind, wurden schon frьh als militдrische Hilfsmittel erkannt. Das Wright Model A wurde 1909 von der U.S. Armee Nachrichtentruppe gekauft und 1911 nutzte Italien mehrere Luftfahrzeuge verschiedenster Art zur Erkundung, Foto-Aufklдrung und Bombardierung im Italienisch-Tьrkischen Krieg. Im ersten Weltkrieg kamen in der militдrischen Luftfahrt viele spezialisierte Fluggerдte zum Einsatz, z.B. als Aufklдrer, Artilleriebeobachter, Kampfflugzeuge und Bomber.;;;;;;;;;;;x
SIEGE;Осада;;Belagerung;;;;;;;;;;;x
TRANSFER_SUB_ALL;§GShift + LMB§! Переместить все юниты этого типа;;§GUmschalttaste + LMT§!, um alle vom selben Typ zu transferieren.;;;;x;;;;;;;
OBSOLETE_UNIT_TECH;§Y$UNIT$§W стал устаревшим из-за технологии §Y$TECH$§W;;§Y$UNIT$§W wurde durch §Y$TECH$§W hinfдllig;;;;;;;;;;;x
ARMY_RECON_TOOLTIP;Эффективность рекогносцировки: §Y$VAL$§!%;;Aufklдrungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;x
ARMY_RECON_DELAYED_TOOLTIP;Эффективностью рекогносцировки является способность наших разведчиков сокращать бонус окапывания вражеской армии и ускорять осады.\n\nЭта армия имеет §Y$RECONUNITS$§! разведбригад из необходимых §Y$RECONMAXUNITS$§!, дающих эффективность рекогносцировки §Y$VAL$%§!;;Aufklдrungs-Effizienz ist die Fдhigkeit der Spдher dieser Armee, den Eingraben-Bonus feindlicher Armeen zu reduzieren und Belagerungen zu beschleunigen.\n\nDiese Armee enthдlt §Y$RECONUNITS$§! Aufklдrungs-Einheiten von benцtigten §Y$RECONMAXUNITS$§! und gibt eine Aufklдrungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;x
ARMY_ENGINEER_TOOLTIP;Эффективность осады: §Y$VAL$§!%;;Belagerungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;x
ARMY_ENGINEER_DELAYED_TOOLTIP;Эффективностью осады является способность наших инженеров и танков снижать эффективность противника в защите крепостей при осаде.\n\nЭта армия имеет §Y$ENGINEERUNITS$§! инженеров и танков из необходимых §Y$ENGINEERMAXUNITS$§!, дающих эффективность осады §Y$VAL$%§!.;;Die Belagerungs-Effizienz ist die Fдhigkeit der Ingenieure und Panzer dieser Armee, die Effektivitдt feindlicher Festungen bei Angriffen und Belagerungen zu reduzieren.\n\nDiese Armee enthдlt §Y$ENGINEERUNITS$§! Ingenieurs- und Panzereinheiten von benцtigten §Y$ENGINEERMAXUNITS$§! und gibt eine Belagerungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;x
TENSION_DECAY;Базовый спад: §Y$VAL$§!;;Basis-Zerfall: §Y$VAL$§!;;;;;;;;;;;x
TENSION_FROM_GP_WARS;Великие державы, находящиеся в состоянии войны: §Y$VAL$§!;;Im Krieg befindliche GroЯmдchte: §Y$VAL$§!;;;;;;;;x;;;
TENSION_FROM_GP_DISARMED;Разоруженные Великие державы: §Y$VAL$§!;;Entwaffnete GroЯmдchte:  §Y$VAL$§!;;;;;;;;x;;;
TENSION_FROM_GP_RANK;Мощность Великих держав: §Y$VAL$§!;;GroЯmдchte-Wertung: §Y$VAL$§!;;;;;;;;x;;;
HAS_NOT_CULTURAL_SPHERE;Не имеет культурной сферы;;besitzt KEINEN kulturellen Einflussbereich;;;;;;;;x;;;
HAS_CULTURAL_SPHERE;Имеет культурную сферу;;besitzt einen kulturellen Einflussbereich;;;;;;;;x;;;
UCA;СПЦА;;Die USCA;;;;;;;;x;;;
LOAD_SAVEGAME_FAIL;Не удалось загрузить сохраненную игру.;;Laden des gespeicherten Spielstandes fehlgeschlagen.;;;;;;;;x;;;
NEWS_TOOLTIP_UNREAD;У вас §G$NUM$§! Непрочитанных газет из §G$MAX$§! напечатанных.;;Ihr habt §G$NUM$§! ungelesene Zeitungen von §G$MAX$§! verцffentlichten.;;;;;;;;x;;;
NEWS_TOOLTIP_NO_NEW;У вас нет непрочитанных газет.;;Es gibt keine neuen, ungelesenen Zeitungen.;;;;;;;;x;;;
become_independent_desc;Объявление независимости от вашего сюзерена силой оружия;;Erklдrt mit Waffengewalt Eure Unabhдngigkeit von Eurem Herrscher;;;;;;;;x;;;
CRISIS_DAYS_UNTIL_WAR;Если дипломатическое решение не найдено, через §Y$DAYS$§! дней начнется война;;In §Y$DAYS$§! Tag(en) wird Krieg ausbrechen, wenn keine diplomatische Lцsung gefunden wird.;;;;;;;;x;;;
REMOVEFROMSPHERE_COST_NO_INFAMY;Это будет стоить §R$PRESTIGE$§! престижа;;Dies wird Euch §R$PRESTIGE$§! Prestige kosten;;;;;;;;x;;;
REMOVEFROMSPHERE_COST;Это будет стоить §R$PRESTIGE$§! престижа и увеличит ваше бесчестие на §R$INFAMY$§! ;;Dies wird §R$PRESTIGE$§! Prestige kosten und Euch §R$INFAMY$§! Infamie einbringen;;;;;;;;x;;;
REMOVEFROMSPHERE_DESC;Удалить нацию из сферы влияния державы §YGreat Power§W;;Entfernt die Nation aus dem Einflussbereich einer §YGroЯmacht§W.;;;;;;;;x;;;
CRISIS_INTEREST;Их интересы: §Y$VAL$§!;;Ihre Zinsen: §Y$VAL$§!;;;;;;;;x;;;
CRISIS_MAKE_OFFER_INVALID;Вы должны предложить им что-то!;;Ihr mьsst ihnen etwas anbieten!;;;;;;;;x;;;
CRISIS_MAKE_OFFER_NOT_LEADER;Вы должны быть лидером в кризисе чтобы делать предложения.;;Ihr mьsst der Anfьhrer in diesem Konflikt sein, um Angebote machen zu kцnnen.;;;;;;;;x;;;
CRISIS_MAKE_OFFER;Сделать предложение государству §Y$COUNTRY$§! чтобы побудить их вернуться на нашу сторону.;;Macht §Y$COUNTRY$§! ein Angebot, um sie zu kцdern, Euch Rьckhalt zu geben. ;;;;;;;;x;;;
CRISIS_AI_WANTS_TO_BACK_1;еще не решила, на чьей она стороне.;;hat noch nicht entschieden, welche Seite sie unterstьtzen.;;;;;;;;x;;;
CRISIS_AI_WANTS_TO_BACK_2;склоняется к поддержке;;neigt zur Unterstьtzung von;;;;;;;;x;;;
CRISIS_AI_WANTS_TO_BACK_3;открыто поддерживает державу;;neigt stark zur Unterstьtzung von;;;;;;;;x;;;
CRISIS_AI_INTEREST;Их заинтересованность в поддержке державы;;Ihr Interesse zur Unterstьtzung von;;;;;;;;x;;;
unification_release_puppet_cb_setup;Освободить державу $THIRD$ от $RECIPIENT$ и добавить их в нашу сферу влияния;;Befreit $THIRD$ von $RECIPIENT$ und fьgt sie Eurem Einflussbereich hinzu;;;;;;;;x;;;
unification_release_puppet_cb_desc;Освободить наших братьев от чужеземного контроля и добавить их в свою сферу влияния;;Befreit unsere kulturelle Sippschaft aus der Kontrolle der Fremden und fьgt sie Eurem Einflussbereich hinzu;;;;;;;;x;;;
unification_release_puppet_cb;Освободить братьев по культуре;;Befreit kulturelle Sippschaft;;;;;;;;x;;;
unification_release_puppet_cb_short;$THIRD$ освобождена;;$THIRD$ wurde befreit;;;;;;;;x;;;
AIREASON_STRATEGIC_INTERESTS;Стратегические интересы;;Strategische Interessen;;;;;;;;x;;;
AIREASON_BACKED_BY_ALLY;Поддержан союзником;;Durch Bьndnispartner unterstьtzt;;;;;;;;x;;;
AIREASON_ALLY;Союзник;;Bьndnispartner;;;;;;;;x;;;
AIREASON_TOO_EARLY_IN_CRISIS;Начало кризиса;;Zu frьh im Konflikt;;;;;;;;x;;;
AIREASON_TOO_MANY_CRISIS_WARGOALS;Слишком много военных целей;;Zu viele Kriegsziele;;;;;;;;x;;;
AIREASON_CRISIS_OFFER;$WARGOAL$:;;$WARGOAL$:;;;;;;;;x;;;
AIREASON_ATTACKING_ALLY;Атака союзников;;Greift Bьndnispartner an;;;;;;;;x;;;
AIREASON_ATTACKING_FRIENDS;Атака друзей;;Greift Freunde an;;;;;;;;x;;;
AIREASON_ATTACKING_ENEMIES;Атака врагов;;Greift Feinde an;;;;;;;;x;;;
AIREASON_COMMON_FOE;Общий враг;;Gemeinsamer Feind;;;;;;;;x;;;
AIREASON_WAR_WITH_SPHERE_LEADER;Война с лидером сферы;;Krieg mit dem Einflusssphдren-Anfьhrer;;;;;;;;x;;;
AIREASON_CONSTRUCTING_CB;Стратегические интересы;;Strategische Interessen;;;;;;;;x;;;
AIREASON_HELD_CORES;Наши национальные провинции;;Besitzt Kernprovinzen;;;;;;;;x;;;
AIREASON_NEGATIVE_RELATIONS;Плохие отношения;;Negative Beziehungen;;;;;;;;x;;;
AIREASON_THREATS;Угрозы;;Drohungen;;;;;;;;x;;;
AIREASON_TOO_MANY_GP_ALLIES;Слишком много Великих Держав в союзниках;;Zu viele GroЯmacht-Bьndnispartner;;;;;;;;x;;;
AIREASON_DESIRES_GP_ALLY;Стремится к союзу с Великой Державой;;Mцchte ein GroЯmacht-Bьndnispartner;;;;;;;;x;;;
AIREASON_ALLY_OF_ALLY;Союзник союзника;;Bьndnispartner von Bьndnispartner;;;;;;;;x;;;
AIREASON_TOO_MANY_ALLIANCES;Слишком много союзов;;Zu viele Bьndnisse;;;;;;;;x;;;
AIREASON_RELATIVE_ARMY_STRENGTH;Сила армии;;Truppen-Stдrke;;;;;;;;x;;;
AIREASON_RELATIVE_NAVY_STRENGTH;Сила флота;;Flotten-Stдrke;;;;;;;;x;;;
AIREASON_CURRENT_WARS;Текущие войны;;Aktuelle Kriege;;;;;;;;x;;;
AIREASON_OUR_CASUS_BELLI;Наш КБ;;Unser Kriegsgrund;;;;;;;;x;;;
AIREASON_YOUR_CASUS_BELLI;Ваш КБ;;Euer Kriegsgrund;;;;;;;;x;;;
AIREASON_CIV_VS_UNCIV;Цивилизованные против нецивилизованных;;Ziviliziert gegen Unzivilisiert;;;;;;;;x;;;
AIREASON_DIPLOMATIC_GOALS;Политические соображения;;Politische Ьberlegungen;;;;;;;;x;;;
AIREASON_DISTANCE;Дистанция;;Distanz;;;;;;;;x;;;
AIREASON_DIFFERENT_GOVTYPES;Форма правления;;Regierungsart;;;;;;;;x;;;
AIREASON_OUR_SPHERE;Наша сфера;;Unsere Einflusssphдre;;;;;;;;x;;;
AIREASON_OTHER_SPHERE_LEADER;В чужой сфере влияния;;Andere Einflusssphдren-Anfьhrer;;;;;;;;x;;;
AIREASON_OTHER_SPHERE;Другая сфера;;Andere Einflusssphдre;;;;;;;;x;;;
AIREASON_OVERLORD;Сюзерен;;Herrscher;;;;;;;;x;;;
AIREASON_BADBOY;Бесчестие;;Infamie;;;;;;;;x;;;
AIREASON_RELATIONS;Отношения;;Beziehungen;;;;;;;;x;;;
AIREASON_GP_RELATIONS;Мнение;;Meinung;;;;;;;;x;;;
AIREASON_BASE_RELUCTANCE;Базовое нежелание;;Basis-Zurьckhaltung;;;;;;;;x;;;
AI_DIPLOMATIC_VALUE;Дипломатическое значение;;Diplomatischer Wert;;;;;;;;x;;;
AI_DIPLO_NO;Они НЕ примут это предложение;;Sie werden nicht akzeptieren;;;;;;;;x;;;
AI_DIPLO_YES;Они примут это предложение;;Sie werden akzeptieren;;;;;;;;x;;;
SHIP_BUILD_MIN_BASE_LEVEL_WARNING;§RНе может быть построен в этом порту. Требуется уровень §Y$LVL$§R или выше.§!;;§RKann in diesem Marinehafen nicht gebaut werden. Erfordert Stufe §Y$LVL$§R oder besser.§!;;;;;;;;x;;;
NAVAL_BASE_OVERSEAS_LIMIT;§RКорабли высшего класса не могут быть построены в заморских провинциях.§!;;§RGroЯkampfschiffe kцnnen nicht in Ьbersee-Provinzen gebaut werden.§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_TITLE;Расчетная мощность огня §G$POWER$§!:;;Die geschдtzte Feuerkraft betrдgt §G$POWER$§!:;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_BASE;§Y$UNIT$§! Базовая атака: §G$VAL$§!;;§Y$UNIT$§! Grundangriff: §G$VAL$§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_TORP;Торпедная атака: §G$VAL$§!;;Torpedo-Angriff: §G$VAL$§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_LUCK;Удача и решения: §Y$VAL$%§!;;Glьck und Entscheidungen: §Y$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_HULL;Сократился благодаря прочности корпуса противника (§R$HULL$§!): §R$VAL$%§!;;Durch gegnerischen Rumpf (§R$HULL$§!) reduziert um: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_EXP;Сократился благодаря опыту оппонента (§R$EXP$%§!): §R$VAL$%§!;;Durch gegnerische Erfahrung (§R$EXP$%§!) reduziert um: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_NOORG;Противник дезорганизован: §Y$VAL$%§!;;Gegner besitzt keine Organisation: §Y$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_STR;Сократился благодаря нашей силе: §R$VAL$%§!;;Durch unsere Stдrke reduziert: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_HIT_CHANCE_DESC;Шанс попадания: §Y$VAL$%§!;;Trefferchance: §Y$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_HIT_CHANCE_DESC_EVA;(сократился за счет уклонения противника §R$VAL$%§!);;(Durch gegnerische Ausweichrate §R$VAL$%§! reduziert);;;;;;;;x;;;
MOBILIZATION_PROGRESS_PAUSED;В провинции §Y$PROV$§! Скоро начнется мобилизация.;;Rekrutierungs-Mobilisierung in §Y$PROV$§! beginnt in Kьrze.;;;;;;;;x;;;
MOBILIZATION_PROGRESS_PENDING;Текущий прогресс мобилизации: §Y$PROG$%§!;;Aktueller Mobilisierungsfortschritt: §Y$PROG$%§!;;;;;;;;x;;;
MOBILIZATION_PROGRESS_NOT_MOBILIZED;Мобилизация займет некоторое время, но развитая сеть железных дорог ускорит процесс.;;Die Mobilisierung wird einige Zeit in Anspruch nehmen, doch ein Ausbau des Schienennetzwerks wird den Prozess beschleunigen.;;;;;;;;x;;;
COLONY_ADD_INFLUENCE;Расширить колониальное влияние;;Kolonialen Einfluss hinzufьgen;;;;;;;;x;;;
EVTNAME20100;Напряжение, связанное с регионом $STATE$;;Spannungen in $STATE$;;;;;;;;x;;;
EVTDESC20100;В последние годы международное сообщество предъявляет нам все больше претензий по поводу положения людей в регионе $STATE$. Они утверждают, что мы давно их угнетали и притесняли, и теперь они хотят стать свободными от нашей власти. Конечно, мы не потерпим вмешательства в наши внутренние дела и в дела региона $STATE$.;;Vor Kurzem wurde die internationale Gemeinschaft zunehmend auf das angebliche Flehen der armen, unterdrьckten Bevцlkerung in $STATE$ aufmerksam. Es wird behauptet, dass wir sie seit langem unterdrьcken und dass sie die Befreiung von unserer wohlwollenden Herrschaft herbeisehnen. Wir werden natьrlich keine Stцrung unserer Herrschaft in $STATE$ tolerieren.;;;;;;;;x;;;
EVTOPTA20100;Конечно не потерпим!;;Natьrlich nicht!;;;;;;;;x;;;
EVTOPTB20100;Возможно нам стоит обсудить это...;;Vielleicht sollten wir darьber reden…;;;;;;;;x;;;
EVTNAME20101;Напряжение, связанное с регионом $STATE$;;Spannungen in $STATE$;;;;;;;;x;;;
EVTDESC20101;В последние годы международное сообщество предъявляет нам все больше претензий по поводу положения людей в регионе $STATE$. Они утверждают, что мы не имеем законного права на власть в этой области, а ближайшие Великие Державы уже начинают строить планы относительно этих земель. ;;Vor Kurzem wurde die internationale Gemeinschaft zunehmend auf das angebliche Flehen der armen, unterdrьckten Bevцlkerung in $STATE$ aufmerksam. Es wird behauptet, dass wir kein Recht zur Herrschaft in dieser Gegend hдtten und benachbarte GroЯmдchte beginnen, ihr Interesse an diesen Behauptungen zu zeigen;;;;;;;;x;;;
EVTOPTA20101;Регион $STATE$ наш!;;Besteht darauf, dass $STATE$ uns gehцrt!;;;;;;;;x;;;
EVTOPTB20101;Выслушать их точку зрения;;Rдumt ihren Anspruch ein.;;;;;;;;x;;;
EVTNAME20102;$CRISISAREA$ кризис;;Der $CRISISAREA$ Konflikt;;;;;;;;x;;;
